Uniprot_ID,labels,nr_db,nr_db_new
Q8N104,0,0,0
Q16186,1,1,1
Q9BSE4,1,1,1
P49747,0,0,0
Q969W1,0,0,0
O75582,1,1,1
O95025,0,0,0
P11684,0,0,0
P59538,0,0,0
Q8N594,1,1,1
Q0VGE8,1,1,1
O60343,1,1,1
Q96SE7,0,0,0
Q96IT6,0,0,0
Q15800,1,1,1
P11532,1,1,1
O60248,1,1,1
A4D1Z8,0,0,0
Q7Z2G1,0,0,0
P34910,0,0,0
B1AKI9,0,0,0
Q8TEZ7,0,0,0
Q9UFP1,0,0,0
Q9H6B9,0,0,0
O95455,1,1,1
Q9NSY2,0,0,0
Q9NRZ9,1,1,1
Q9UBE8,1,1,1
P33763,0,0,0
Q9Y257,0,0,0
Q96E16,0,0,0
Q5HYJ1,0,0,0
Q96S53,1,1,1
Q69YG0,1,1,1
Q96RN5,1,1,1
Q5JYT7,1,1,1
A0A1B0GWK0,0,0,0
Q6UW60,0,0,0
P47756,1,1,1
Q9Y4A9,0,0,0
Q5FWE3,0,0,0
A8MV65,1,1,1
Q8NI27,1,1,2
Q86SM8,0,0,0
Q8NBV8,0,0,0
Q96RP3,0,0,0
A0A0U1RR37,0,0,0
Q96QG7,1,1,1
P57088,1,1,1
P34096,0,0,0
P36639,1,1,1
P61006,1,1,1
Q6ZU45,0,0,0
Q96SC8,0,0,0
O43612,0,0,0
P0C7M7,0,0,0
Q5VUE5,0,0,0
P20930,1,1,1
Q8IYJ2,1,1,1
P09565,0,0,0
Q7Z6Z7,1,1,1
Q96MR9,0,0,0
Q15398,1,1,1
P35663,0,0,0
Q9NYV7,0,0,0
Q13523,1,1,1
Q96LK8,0,0,0
Q8NC38,0,0,0
A6PVC2,0,0,0
Q9NZP5,0,0,0
Q6ZTQ4,1,1,1
Q9H295,0,0,0
Q63HN1,0,0,0
P17020,1,1,1
P98073,1,1,1
Q9UDW3,1,1,1
Q7Z419,1,1,1
Q6IE38,0,0,0
Q9NTX5,1,1,1
Q9NU02,1,1,1
Q8N138,1,1,1
A0A0B4J2F2,0,0,0
Q9H8Y5,1,1,1
Q9HCR9,0,0,0
Q96NL8,0,0,0
Q8NGQ2,0,0,0
Q9NQV6,1,1,1
Q9H354,0,0,0
P0DMM9,1,1,1
Q9UM00,1,1,1
Q7Z4I7,1,1,1
Q4G0U5,0,0,0
Q9NXJ0,1,1,1
Q5TBK1,0,0,0
Q15369,1,1,1
Q9BYG0,1,1,1
Q5DID0,0,0,0
Q8N6M6,0,0,0
O15084,1,1,1
Q9NQW8,0,0,0
Q8IUY3,1,1,1
Q6P9G4,0,0,0
O95076,1,1,1
Q8NF99,1,1,1
Q9BU23,1,1,1
Q9Y662,0,0,0
P30622,1,1,1
P26885,1,1,1
Q86U28,0,0,0
O00253,0,0,0
P54852,0,0,0
Q9H0B8,1,1,1
Q8NGX0,0,0,0
P20618,1,1,1
A6NES4,0,0,0
Q96LX8,1,1,1
Q86XP6,0,0,0
P21980,1,1,1
P10620,1,1,1
P19113,0,0,0
Q6EBC2,0,0,0
Q99983,1,1,1
Q9H0X4,0,0,0
O60403,0,0,0
Q9P2K3,1,1,1
O76093,0,0,0
Q0VDD5,0,0,0
Q9H2J1,0,0,0
Q9HCN3,0,0,0
Q9UKI9,1,1,1
P48552,1,1,1
Q6UXB3,0,0,0
Q9Y5B0,1,1,1
Q9Y376,1,1,1
O14907,1,1,1
Q6UXB0,1,1,1
O14753,0,0,0
Q9NQR1,0,0,0
Q9Y5L2,0,0,0
Q8IXN7,1,1,1
Q9HBJ8,0,0,0
O43674,1,1,1
Q9NX62,0,0,0
Q96M20,0,0,0
A6NNZ2,0,0,0
Q8IXW5,1,1,1
Q8N8C0,0,0,0
Q9NWR8,0,0,0
Q9UHI5,0,0,0
O95155,1,1,1
A6NGB0,0,0,0
Q9NTI7,0,0,0
Q14244,1,1,1
Q9H3Y8,1,1,1
Q15762,0,0,0
Q96MV1,0,0,0
O94778,0,0,0
Q96FB5,1,1,1
Q9P2B7,1,1,1
Q6MZM9,0,0,0
A6NK53,0,0,0
P14060,1,1,1
Q96IU4,1,1,1
A6NMD0,0,0,0
Q53EL9,0,0,0
O75191,1,1,1
Q1KMD3,1,1,1
P35658,1,1,1
Q5JTB6,0,0,0
Q01740,0,0,0
J3KSC0,0,0,0
Q9Y4I5,0,0,0
Q6ZUT9,1,1,1
A2RU37,0,0,0
P19387,1,1,1
Q9H0K4,0,0,0
Q7Z3U7,1,1,1
Q9H3H3,1,1,1
Q04741,1,1,1
Q9NPI0,0,0,0
Q96EQ8,1,1,1
Q15750,1,1,1
Q99941,1,1,1
Q9UJW9,1,1,1
P43307,1,1,1
Q9H6U6,1,1,1
Q86SH4,0,0,0
Q6UXF1,1,1,1
Q13233,1,1,1
Q8NGZ2,0,0,0
Q5VY09,1,1,1
P47874,0,0,0
Q6UX15,0,0,0
Q9BXY4,0,0,0
Q96LM5,0,0,0
Q8IZJ0,0,0,0
Q9HCE9,1,1,1
Q9BQ70,1,1,1
Q9P2G4,0,0,0
Q6ZU64,0,0,0
Q8IUB3,0,0,0
Q9P2W6,0,0,0
Q12797,1,1,1
Q719H9,1,1,1
A8MYB1,0,0,0
Q6PHR2,1,1,1
